form,function,month,revenue
Softgels,Stress_Sleep,feb,2.51478896
Tablets,Stress_Sleep,feb,7.51441953125
Capsules,Stress_Sleep,feb,21.885422740000003
Powder,Stress_Sleep,feb,6.625442
Other,Stress_Sleep,feb,0.487496
Gummy,Energy,feb,5.986762
Softgels,Energy,feb,3.985206
Tablets,Energy,feb,6.456625077500001
Capsules,Energy,feb,31.184648184750003
Powder,Energy,feb,25.064010862857142
Other,Energy,feb,1.76603
Gummy,Body,feb,7.237792510000001
Softgels,Body,feb,26.5381406315
Tablets,Body,feb,11.6221123125
Capsules,Body,feb,69.91821371425
Powder,Body,feb,20.151243479285718
Other,Body,feb,0.8810473300000001
Gummy,Weight_Mngm,feb,6.372119
Softgels,Weight_Mngm,feb,1.795523
Tablets,Weight_Mngm,feb,4.36208394
Capsules,Weight_Mngm,feb,27.869089623367966
Powder,Weight_Mngm,feb,11.412834855
Other,Weight_Mngm,feb,1.392592
Gummy,Fitness,feb,2.506825
Softgels,Fitness,feb,2.111249
Tablets,Fitness,feb,5.54876679
Capsules,Fitness,feb,18.761891545238093
Powder,Fitness,feb,34.89138868730159
Other,Fitness,feb,2.5435776100000003
Gummy,Beauty,mar,5.732887
Softgels,Beauty,mar,3.005788482171717
Tablets,Beauty,mar,2.817815
Capsules,Beauty,mar,12.050976151363637
Powder,Beauty,mar,11.711181
Other,Beauty,mar,1.195575
Gummy,Immune,mar,12.517231892000002
Softgels,Immune,mar,6.856610275353535
Tablets,Immune,mar,7.386315
Capsules,Immune,mar,29.258477036120127
Powder,Immune,mar,11.14144102
Other,Immune,mar,1.401
Gummy,Digest,mar,6.515311
Softgels,Digest,mar,1.5454520044444446
Tablets,Digest,mar,3.922736
Capsules,Digest,mar,37.72934797987013
Powder,Digest,mar,12.33110087
Other,Digest,mar,0.992861
Gummy,Joints,mar,5.067387522
Softgels,Joints,mar,7.192056583535353
Tablets,Joints,mar,10.03086
Capsules,Joints,mar,26.785011895
Powder,Joints,mar,14.915457
Other,Joints,mar,0.167632
Gummy,Brain,mar,2.19164185
Softgels,Brain,mar,7.792350570779221
Tablets,Brain,mar,2.868178
Capsules,Brain,mar,21.50911617272727
Powder,Brain,mar,7.304226
Other,Brain,mar,1.018349
Gummy,Stress_Sleep,mar,5.05908511
Softgels,Stress_Sleep,mar,0.9458070044444445
Tablets,Stress_Sleep,mar,5.491918
Capsules,Stress_Sleep,mar,15.653105482222221
Powder,Stress_Sleep,mar,4.7933235
Other,Stress_Sleep,mar,0.213514
Gummy,Energy,mar,3.7024308500000003
Softgels,Energy,mar,2.159030862222222
Tablets,Energy,mar,4.949732
Capsules,Energy,mar,26.73698804272727
Powder,Energy,mar,22.136333723333333
Other,Energy,mar,1.887989
Gummy,Body,mar,6.625304
Softgels,Body,mar,17.31630751502309
Tablets,Body,mar,11.7215981
Capsules,Body,mar,57.88349715002273
Powder,Body,mar,18.067722001249997
Other,Body,mar,1.113546
Gummy,Weight_Mngm,mar,4.0497856288888885
Softgels,Weight_Mngm,mar,1.8979018622222221
Tablets,Weight_Mngm,mar,3.3799623
Capsules,Weight_Mngm,mar,25.48156775165584
Powder,Weight_Mngm,mar,11.771019084583335
Other,Weight_Mngm,mar,0.992787
Gummy,Fitness,mar,1.457762
Softgels,Fitness,mar,1.6386225676767676
Tablets,Fitness,mar,3.8055163866666666
Capsules,Fitness,mar,14.92782488
Powder,Fitness,mar,28.989175563333333
Other,Fitness,mar,2.3085637599999997
Gummy,Beauty,apr,7.114768
Softgels,Beauty,apr,3.5052209199999997
